id;notification_type;message;read_at;sent;sent_at;delivered;delivered_at;failed;failed_at;failure_reason;external_message_id
1;WHATSAPP;incalculable altruiste;2025-12-03T07:55:01;false;2025-12-02T18:09:43;true;2025-12-02T19:40:31;true;2025-12-03T08:04:57;extatique membre du personnel;risquer lectorat dormir
2;SMS;aujourd'hui entièrement ranimer;2025-12-02T22:26:40;false;2025-12-03T11:17:58;true;2025-12-03T11:21:36;false;2025-12-02T18:11:11;cot cot du fait que;sauf à glouglou
3;SMS;amorphe avant de de façon à ce que;2025-12-03T15:51:25;false;2025-12-03T12:13:29;true;2025-12-02T20:07:04;false;2025-12-03T00:48:57;après;cot cot répartir main-d’œuvre
4;WHATSAPP;dans la mesure où accorder à même;2025-12-03T00:07:28;true;2025-12-02T23:00:46;true;2025-12-03T08:56:52;true;2025-12-03T05:49:15;miam aigre;vite parlementaire au-dedans de
5;SMS;cadre;2025-12-03T15:40:39;true;2025-12-03T07:37:05;true;2025-12-02T22:45:35;true;2025-12-03T17:27:07;en;sédentaire
6;SMS;administration écrire;2025-12-02T19:16:33;true;2025-12-03T17:39:20;false;2025-12-03T11:12:05;true;2025-12-03T08:09:20;du fait que adepte;tellement de peur de
7;WHATSAPP;avex quoique;2025-12-03T10:28:13;false;2025-12-02T20:50:59;true;2025-12-03T12:42:53;false;2025-12-03T00:59:41;sur rédaction maintenir;ensuite
8;WHATSAPP;vouh ronron;2025-12-03T07:15:32;true;2025-12-03T09:34:56;false;2025-12-02T21:28:56;true;2025-12-03T00:33:24;refroidir blême;téméraire
9;EMAIL;vouh population du Québec;2025-12-03T12:19:01;false;2025-12-03T06:06:14;false;2025-12-03T00:24:17;true;2025-12-03T08:36:00;vétuste toutefois;commis
10;WHATSAPP;avant que;2025-12-03T14:02:20;false;2025-12-03T02:24:34;true;2025-12-03T10:43:51;false;2025-12-03T16:53:33;magenta;ci
