id;name;code;official_url
1;secouriste;encore pas mal;secours bang
2;rose;complètement secouriste entreprendre;lectorat
3;vouh;broum;presque altruiste mairie
4;insipide;meuh;hormis smack trop
5;smack de peur de membre titulaire;figurer apte transformer;sauf psitt
6;tant oh du moment que;certes;novice
7;quelque biathlète;soit;de manière à ce que autoriser
8;débattre;aux environs de;fondre souple
9;fondre sitôt que svelte;quand ?;vaste
10;du fait que d'abord pendant que;bzzz retentir entièrement;incalculable de la part de en face de
